As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,WB Contract Number,Major Sector,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Total Contract Amount (USD),Borrower Contract Reference Number
12/18/12 0:00,2013,SOUTH ASIA,Afghanistan,AF,P101502,AF: HIV/AIDS Prevention Project,Health Services,Consultant Services,Individual,IBRD/IDA,1324214,Health and other social services,M&E Surveillance consultant HIV AIDs,7/1/12 0:00,DR. HUSSAIN ALI YOUSUFI,Afghanistan,AF,"$34,630.00 ",HIV 13
12/18/12 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328175,"Agriculture, fishing, and forestry",Procurement of Artificial insemination equipment for livesto,7/17/12 0:00,MAWLANA YAQOB CHARKHI QURBAN KHAIL LTD,Afghanistan,AF,"$257,839.00 ",HLP/ICB/5799
12/18/12 0:00,2013,SOUTH ASIA,Afghanistan,AF,P098256,AF: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328418,"Agriculture, fishing, and forestry",Procurement of HP Equipment for Horticulture Component,9/4/12 0:00,MAWLANA YAQOB CHARKHI QURBAN KHAIL LTD,Afghanistan,AF,"$265,570.00 ",MAIL/ARTF/HLP/ICB/ 5838
12/18/12 0:00,2013,NORTH AMERICA,United States,US,P098256,US: Hort. & Livestock Project,"Equipment, Agricultural",Goods,International Competitive Bidding,IBRD/IDA,1328416,"Agriculture, fishing, and forestry",Procurement of REV 1 Vaccines for livestock Component,10/14/12 0:00,ARAM TRADING CO.LTD,Afghanistan,AF,"$186,550.00 ",MAIL/ARTF/HLP/ICB/ 5855
12/18/12 0:00,2013,NORTH AMERICA,United States,US,P098256,US: Hort. & Livestock Project,"Equipment, Agricultural",Goods,Individual,IBRD/IDA,348553,Health and other social services,                                                  ,10/14/12 0:00,ENDICIA FEES              ,United States,US,16.8, 
12/18/12 0:00,2013,NORTH AMERICA,United States,US,P098256,US: Hort. & Livestock Project,"Equipment, Agricultural",Goods,Individual,IBRD/IDA,345947,Health and other social services,Nameplate for new employee J. Basiger,10/14/12 0:00,IN *WAUSAU AWARDS & ENGRA ,United States,US,284,A283148
12/18/12 0:00,2013,NORTH AMERICA,United States,US,P098256,US: Hort. & Livestock Project,"Equipment, Agricultural",Goods,Individual,IBRD/IDA,345796,Health and other social services,residence utility,10/14/12 0:00,KANKAKEE VALLEY RURAL EMC ,United States,US,228.64,R006160
12/18/12 0:00,2013,NORTH AMERICA,United States,US,P098256,US: Hort. & Livestock Project,"Equipment, Agricultural",Goods,Individual,IBRD/IDA,345796,Health and other social services,CBR Electric December 2015,10/14/12 0:00,PARKE COUNTY REMC         ,United States,US,-6.79, 
12/18/12 0:00,2013,NORTH AMERICA,United States,US,P098256,US: Hort. & Livestock Project,"Equipment, Agricultural",Goods,Individual,IBRD/IDA,346720,Health and other social services,Return unneeded connector,10/14/12 0:00,MENARDS BLOOMINGTON IN    ,United States,US,650,K005155
12/18/12 0:00,2013,NORTH AMERICA,United States,US,P098256,US: Hort. & Livestock Project,"Equipment, Agricultural",Goods,Individual,IBRD/IDA,345796,Health and other social services,Electric service for office and Cherry Lake Lodge,10/14/12 0:00,SOUTH CENTRAL INDIANA     ,United States,US,9.95,K005155
